"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.2.22","57.144.115.32","TLSv1.2","123","Application Data"
"2","0.003914","57.144.115.32","192.168.2.22","TCP","60","443  >  2198 [ACK] Seq=1 Ack=70 Win=2507 Len=0"
"3","0.085021","57.144.115.32","192.168.2.22","TLSv1.2","125","Application Data"
"4","0.128075","192.168.2.22","57.144.115.32","TCP","1446","2198  >  443 [ACK] Seq=70 Ack=72 Win=260 Len=1392 [TCP PDU reassembled in 15]"
"5","0.128075","192.168.2.22","57.144.115.32","TCP","1446","2198  >  443 [ACK] Seq=1462 Ack=72 Win=260 Len=1392 [TCP PDU reassembled in 15]"
"6","0.128075","192.168.2.22","57.144.115.32","TCP","1446","2198  >  443 [ACK] Seq=2854 Ack=72 Win=260 Len=1392 [TCP PDU reassembled in 15]"
"7","0.128075","192.168.2.22","57.144.115.32","TCP","1446","2198  >  443 [ACK] Seq=4246 Ack=72 Win=260 Len=1392 [TCP PDU reassembled in 15]"
"8","0.128075","192.168.2.22","57.144.115.32","TCP","1446","2198  >  443 [ACK] Seq=5638 Ack=72 Win=260 Len=1392 [TCP PDU reassembled in 15]"
"9","0.128075","192.168.2.22","57.144.115.32","TCP","1446","2198  >  443 [ACK] Seq=7030 Ack=72 Win=260 Len=1392 [TCP PDU reassembled in 15]"
"10","0.128075","192.168.2.22","57.144.115.32","TCP","1446","2198  >  443 [ACK] Seq=8422 Ack=72 Win=260 Len=1392 [TCP PDU reassembled in 15]"
"11","0.128075","192.168.2.22","57.144.115.32","TCP","1446","2198  >  443 [ACK] Seq=9814 Ack=72 Win=260 Len=1392 [TCP PDU reassembled in 15]"
"12","0.128075","192.168.2.22","57.144.115.32","TCP","1446","2198  >  443 [ACK] Seq=11206 Ack=72 Win=260 Len=1392 [TCP PDU reassembled in 15]"
"13","0.128075","192.168.2.22","57.144.115.32","TCP","1446","2198  >  443 [ACK] Seq=12598 Ack=72 Win=260 Len=1392 [TCP PDU reassembled in 15]"
"14","0.128075","192.168.2.22","57.144.115.32","TCP","1446","2198  >  443 [ACK] Seq=13990 Ack=72 Win=260 Len=1392 [TCP PDU reassembled in 15]"
"15","0.128075","192.168.2.22","57.144.115.32","TLSv1.2","1148","Application Data"
"16","0.128233","192.168.2.22","57.144.115.32","TLSv1.2","454","Application Data"
"17","0.132309","57.144.115.32","192.168.2.22","TCP","60","443  >  2198 [ACK] Seq=72 Ack=1462 Win=2518 Len=0"
"18","0.133106","57.144.115.32","192.168.2.22","TCP","60","443  >  2198 [ACK] Seq=72 Ack=4246 Win=2540 Len=0"
"19","0.133106","57.144.115.32","192.168.2.22","TCP","60","443  >  2198 [ACK] Seq=72 Ack=5638 Win=2551 Len=0"
"20","0.133106","57.144.115.32","192.168.2.22","TCP","60","443  >  2198 [ACK] Seq=72 Ack=9814 Win=2583 Len=0"
"21","0.133877","57.144.115.32","192.168.2.22","TCP","60","443  >  2198 [ACK] Seq=72 Ack=11206 Win=2594 Len=0"
"22","0.133877","57.144.115.32","192.168.2.22","TCP","60","443  >  2198 [ACK] Seq=72 Ack=15382 Win=2627 Len=0"
"23","0.133877","57.144.115.32","192.168.2.22","TCP","60","443  >  2198 [ACK] Seq=72 Ack=16476 Win=2638 Len=0"
"24","0.133877","57.144.115.32","192.168.2.22","TCP","60","443  >  2198 [ACK] Seq=72 Ack=16876 Win=2638 Len=0"
"25","0.142424","192.168.2.22","57.144.115.32","TCP","1446","2198  >  443 [ACK] Seq=16876 Ack=72 Win=260 Len=1392 [TCP PDU reassembled in 36]"
"26","0.142424","192.168.2.22","57.144.115.32","TCP","1446","2198  >  443 [ACK] Seq=18268 Ack=72 Win=260 Len=1392 [TCP PDU reassembled in 36]"
"27","0.142424","192.168.2.22","57.144.115.32","TCP","1446","2198  >  443 [ACK] Seq=19660 Ack=72 Win=260 Len=1392 [TCP PDU reassembled in 36]"
"28","0.142424","192.168.2.22","57.144.115.32","TCP","1446","2198  >  443 [ACK] Seq=21052 Ack=72 Win=260 Len=1392 [TCP PDU reassembled in 36]"
"29","0.142424","192.168.2.22","57.144.115.32","TCP","1446","2198  >  443 [ACK] Seq=22444 Ack=72 Win=260 Len=1392 [TCP PDU reassembled in 36]"
"30","0.142424","192.168.2.22","57.144.115.32","TCP","1446","2198  >  443 [ACK] Seq=23836 Ack=72 Win=260 Len=1392 [TCP PDU reassembled in 36]"
"31","0.142424","192.168.2.22","57.144.115.32","TCP","1446","2198  >  443 [ACK] Seq=25228 Ack=72 Win=260 Len=1392 [TCP PDU reassembled in 36]"
"32","0.142424","192.168.2.22","57.144.115.32","TCP","1446","2198  >  443 [ACK] Seq=26620 Ack=72 Win=260 Len=1392 [TCP PDU reassembled in 36]"
"33","0.142424","192.168.2.22","57.144.115.32","TCP","1446","2198  >  443 [ACK] Seq=28012 Ack=72 Win=260 Len=1392 [TCP PDU reassembled in 36]"
"34","0.142424","192.168.2.22","57.144.115.32","TCP","1446","2198  >  443 [ACK] Seq=29404 Ack=72 Win=260 Len=1392 [TCP PDU reassembled in 36]"
"35","0.142424","192.168.2.22","57.144.115.32","TCP","1446","2198  >  443 [ACK] Seq=30796 Ack=72 Win=260 Len=1392 [TCP PDU reassembled in 36]"
"36","0.142424","192.168.2.22","57.144.115.32","TLSv1.2","1148","Application Data"
"37","0.142591","192.168.2.22","57.144.115.32","TLSv1.2","314","Application Data"
"38","0.146238","57.144.115.32","192.168.2.22","TCP","60","443  >  2198 [ACK] Seq=72 Ack=18268 Win=2648 Len=0"
"39","0.147027","57.144.115.32","192.168.2.22","TCP","60","443  >  2198 [ACK] Seq=72 Ack=19660 Win=2659 Len=0"
"40","0.147027","57.144.115.32","192.168.2.22","TCP","60","443  >  2198 [ACK] Seq=72 Ack=21052 Win=2670 Len=0"
"41","0.147027","57.144.115.32","192.168.2.22","TCP","60","443  >  2198 [ACK] Seq=72 Ack=22444 Win=2681 Len=0"
"42","0.147800","57.144.115.32","192.168.2.22","TCP","60","443  >  2198 [ACK] Seq=72 Ack=23836 Win=2692 Len=0"
"43","0.147800","57.144.115.32","192.168.2.22","TCP","60","443  >  2198 [ACK] Seq=72 Ack=25228 Win=2703 Len=0"
"44","0.147800","57.144.115.32","192.168.2.22","TCP","60","443  >  2198 [ACK] Seq=72 Ack=26620 Win=2714 Len=0"
"45","0.147800","57.144.115.32","192.168.2.22","TCP","60","443  >  2198 [ACK] Seq=72 Ack=28012 Win=2725 Len=0"
"46","0.148633","57.144.115.32","192.168.2.22","TCP","60","443  >  2198 [ACK] Seq=72 Ack=29404 Win=2735 Len=0"
"47","0.148633","57.144.115.32","192.168.2.22","TCP","60","443  >  2198 [ACK] Seq=72 Ack=30796 Win=2746 Len=0"
"48","0.148633","57.144.115.32","192.168.2.22","TCP","60","443  >  2198 [ACK] Seq=72 Ack=32188 Win=2757 Len=0"
"49","0.148633","57.144.115.32","192.168.2.22","TCP","60","443  >  2198 [ACK] Seq=72 Ack=33282 Win=2768 Len=0"
"50","0.148633","57.144.115.32","192.168.2.22","TCP","60","443  >  2198 [ACK] Seq=72 Ack=33542 Win=2768 Len=0"
"51","0.639660","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=72 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 52]"
"52","0.639660","57.144.115.32","192.168.2.22","TLSv1.2","1446","Application Data"
"53","0.639660","57.144.115.32","192.168.2.22","TLSv1.2","1378","Application Data"
"54","0.639660","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=4180 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 57]"
"55","0.639754","192.168.2.22","57.144.115.32","TCP","54","2198  >  443 [ACK] Seq=33542 Ack=5572 Win=261 Len=0"
"56","0.640655","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=5572 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 57]"
"57","0.640655","57.144.115.32","192.168.2.22","TLSv1.2","1356","Application Data"
"58","0.640655","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=8266 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 60]"
"59","0.640655","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=9658 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 60]"
"60","0.640655","57.144.115.32","192.168.2.22","TLSv1.2","1356","Application Data"
"61","0.640655","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=12352 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 64]"
"62","0.640655","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=13744 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 64]"
"63","0.640737","192.168.2.22","57.144.115.32","TCP","54","2198  >  443 [ACK] Seq=33542 Ack=15136 Win=261 Len=0"
"64","0.641662","57.144.115.32","192.168.2.22","TLSv1.2","1446","Application Data"
"65","0.641662","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=16528 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 66]"
"66","0.641662","57.144.115.32","192.168.2.22","TLSv1.2","1446","Application Data"
"67","0.641662","57.144.115.32","192.168.2.22","TLSv1.2","1288","Application Data"
"68","0.641662","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=20546 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 70]"
